Tomb Raider: Annniversary function addresses

Base address: 400000
Exe timestamp: 463F522D (Mon May 07 16:22:05 2007)

AnimController__GetCurrentInterpQuat 0047A380
ArchiveFileSystem__CalculateHash 00C66A46
ArchiveFileSystem__Find 00C66A92
AreDebugMenusEnabled 004E6090
BGOBJECT_Draw 00414180
CAMERA_CDCCineProcess 0041F810
CAMERA_CalcPosition 00491320
CAMERA_Control 00482650
CAMERA_EndLook 00489B30
CAMERA_ForceEndLookaroundMode 0048A5E0
CAMERA_LookProcess 0048A600
CAMERA_Process 00481D70
CAMERA_SetInstanceFocus 00489380
CAMERA_SetProjDistance 00491FA0
CAMERA_StartAccurateAimMode 0048A420
CAMERA_StartLookaroundMode 0048A300
CCombatReticle__Deactivate 005925A0
CDCCine_StartBlockingCine 004207E0
CDCCine_StopAllCine 0041FF60
CHECKPOINT_HandlePlayer 00C72171
CHRONICLE_SetChapterInfo 004227E0
CHRONICLE_SetChapterVars 00422160
CLOTH_ClothAddWind 00435BF0
CLOTH_ClothUpdateState 00437D40
CLOTH_RelaxAllCloth 00C5FB2F
CLOTH_SetupCloth 00435770 
COLLIDE_InsertDynamicMarker 00C5E7AB
CharacterProxy__Init 0054AF60
CharacterProxy__SetOrientation 0054AF40
CharacterProxy__TeleportToNewSettings 00C73F00
CinematicHandlerImpl__NextFrame 00424FE0
CloseHandle 005E4F80
ComputeCRC 0047D970
CreateSoundstream 00C5EFAA
D3DTEX_SetTPageStateCached 0040F820
D3D_Init 00C5C175
D3D_IsSuspended 004153D0
D3D_PrevGen_EndScene 004168C0
D3D_PrevGen_Init 00415C20
D3D_PrevGen_Shutdown 004164C0
DEBUG_ApplyCheatCode 00427160
DEBUG_Draw 00427D80
DEBUG_FatalError 00C5EAC3
DEBUG_Init 00427130
DEBUG_Process 00427230
DEBUG_ReloadCurrentLevel 004279F0
DOPPEL_GetHealthMeterCallback 005B58B0
DRAW_DrawQuads 00406D70
DRAW_DrawQuads2DNoZbuffer 00407A20
DRAW_DrawTriangles 00C5B5FD
DeathState__Entry 005581D0
DeathState__Exit 00558540
DeathState__Process 005699C0
DeviceCallback__OnCreateDevice 00417530
DumpUnusedFrontEndObjects 004E7060
ENEMY_DefaultHandler 004B8A10
ENEMY_InitCharacterProxy 004B2F10
ENEMY_KillEnemy 00C6BF33
ENEMY_LoseHitPoints 004CBF80
ENEMY_StartAttack 00C698AE
ENEMY_SwitchState 00C69421
ENEMY_UnhideWeapons 004B6370
EVENT_DebugInputActionPressed 0042F7C0
EVENT_HideTerrainGroup 0042ED90
EVENT_InputActionOn 0042F740
EVENT_InstanceStart 0042FA90
EVENT_LinkToParent 0042F020
EVENT_MoveSunPosition 0042F8A0
EVENT_PlayerDisableControl 00467A10
EVENT_PlayerTurnGold 0044E290
EVENT_PreloadCine 0042E110
EVENT_Process 004321F0
EVENT_ProcessMovingWater 0042EA90
EVENT_ProcessSoundStreams 00431FB0
EVENT_ProcessSounds 0042D8C0
EVENT_RestorePlayerCharacter 0042FCC0
EVENT_RigidBodyThrow 00430A40
EVENT_SetMusic 0042FDA0
EVENT_SetScale 0042F290
EVENT_SetSunPosition 0042F810
EVENT_SwitchPlayerCharacter 0042FC80
EnemyMessageControl__UseDefaultHandler 004BA380
EnemySense__SetUncertainInfo 004C37F0
EnemySensesControl__AddInstance 00C6E2D3
EnumFunc 00401B40
ExtractLevelNum 0045EEB0
ExtractWorldName 0045EE80
FSHelper_ReadFile 0045F850
FXDRAW_DrawRain 0044B770
FX_DrawWeather 00438E00
FX_ProcessList 00445C20
FX_Process_WetDirty 0044F790
FindTextInLine 0045EE30
FindUnitInfo 00C7D5C8
Font__Flush 00434C40
Font__FontInfo__GetCharInfo 00C5F780
Font__GetTextWidth 00434510
Font__Load 00C5F50B
Font__PrintCentered 00434E50
Font__PrintFormatted 00434A70
Font__SetCursor 00433C70
Font__SetRGBA 00433F20
G2EmulationInstanceQueryAnimation 004DE8B0
G2EmulationInstanceQueryFrame 004DEC20
G2EmulationInstanceSetAnimation 004DE690
G2EmulationInstanceSetMode 004DE7F0
G2Quat_FromEulerf 004E00B0
G2Quat_ToEuler 00C6F908
GAMELOOP_ChangeMode 004540A0
GAMELOOP_DisplayFrame 00453440
GAMELOOP_DisplayGameElements 00C61A36
GAMELOOP_DoTimeProcess 004534E0
GAMELOOP_ExitGame 004542B0
GAMELOOP_GetMainRenderUnit 004530E0
GAMELOOP_HandleScreenWipes 00452A90
GAMELOOP_InitGameTracker 00C617AF
GAMELOOP_IntroducePlayerInstance 00452810
GAMELOOP_IsWipeDone 00452970
GAMELOOP_MainLoop 00C61D50
GAMELOOP_ModeStartPause 00453F10
GAMELOOP_Process 00454AC0
GAMELOOP_RequestLevelChangeByName 00C61CFA
GAMELOOP_ResetAllScreenWipes 00452950
GAMELOOP_SetLoadingDisplay 004527E0
GAMELOOP_SetScreenWipe 00452A30
GAMELOOP_SystemInit 00C61874
GAMEWINDOW_ApplyInGameSettings 00404960
GAMEWINDOW_Init 00C5B466
GAMEWINDOW_Poll 00404750
GAMEWINDOW_ReadIngameSettings 00404B90
GAMEWINDOW_ReadSettings 00405170
GAMEWINDOW_SaveInGameSettings 00404D40
GAMEWINDOW_SaveSettings 00405550
GAMEWINDOW_SetDefaults 00404880
GEAR_Default 00530B90
GEAR_Idle 005314F0
GEAR_Init 00531A50
GEAR_Process 005306D0
GainHealth 005716A0
GetArgParameter 0045EEF0
GetCurrentThreadId 0062DFF0
GetDrawListByTpageId 00C5C280
GetFS 0045F640
GetGameValue 004551E0
GetMaxHealth 00560590
GetObjectID 00C63B7D
GetSaveInfo 005C0830
HasOptionChanged 004553C0
IMAGE_LoadImage 00401480
INPUT_Process 004E01B0
INPUT_RestoreStatus 00C6F96D
INSTANCE_BirthCommon 00459640
INSTANCE_BirthObject 00C62EF8
INSTANCE_BirthObjectAtSegment 0045C590
INSTANCE_BirthObjectNoParent 0045BA90
INSTANCE_DefaultInit 0045AC10
INSTANCE_DynamicLinkToParentMarker 00459B80
INSTANCE_Find 004582D0
INSTANCE_FindWithName 00458140
INSTANCE_HideUnhideDrawGroup 004319B0
INSTANCE_InitInstanceList 004574C0
INSTANCE_IntroduceCommon1 00C6277A
INSTANCE_IntroduceInstance 0045B720
INSTANCE_LinkToParent 00459A70
INSTANCE_LinkToParentMarker 00459B30
INSTANCE_NewInstance 00C62479
INSTANCE_Post 004580B0
INSTANCE_ProcessFunctions 0045A890
INSTANCE_ProcessIntro 00457680
INSTANCE_Query 00458060
INSTANCE_ReallyRemoveAllChildren 0045B5E0
INSTANCE_ReallyRemoveInstance 0045A3A0
INSTANCE_SetCurrentStreamUnitID 00458C90
INSTANCE_SetModel 00458A90
IncrHealth 005715E0
InitArchive 0045F5B0
InitFS 0045F550
InitHealthSystem 00571550
InitObjectWithID 00C63A4E
InitStates 0059A3D0
InputRemapDevice__GetMappedButton 004E1020
InputSystem__GetAxisValue 004E38C0
InputSystem__Update 004E3A50
InsertGlobalObject 00C7D980
InstanceDraw 00409880
IsDemoBuild 004E63A0
IsE3Build 004E6390
IsMenuOpen 004E60A0
IsPlatformPS2 004E6EC0
IsTriggerActive 004682B0
LIGHT_SetDynamicLightColorAndRadius 0045C8A0
LevelLoadAndInit 00454510
LoadChapter 00422090
LookAroundState__Entry 00598B20
LookAroundState__Exit 0055A160
LookAroundState__Process 0055A400
LookupBooleanFunction 004E7050
LookupMenuItemCommand 004E7030
LookupUIMenuHandler 004FA7E0
LoseHealth 00571860
MAINMENU_LoadBgUnit 004E88B0
MAINMENU_PollUnitSwitch 004E8670
MAINMENU_Run 004E8BE0
MAINMENU_SetTitleUnitForChapter 004E8550
MAIN_DoMainInit 0045F6E0
MAIN_FailAbort 00401E30
MAIN_ImageItemDisplay 0045EFF0
MAIN_ResetGame 0045EF70
MARKUP_Find 004615A0
MODIFIABLE_Init 00533D30
MOVIE_DisplayFrame 00418000
MOVIE_Play 004181F0
MOVIE_StartPlay 00417D10
MSSave__ProcessCommandline 00C78EFA
MSSave__Update 005C2780
MSSave__UpdateUI 005C1150
MULTIBODY_Throw 0054CA90
MainG2 0045FD00
MainG2_UpdateLoop 00401CD0
MarkupManager__AddInstanceMarkup 00C636C6
MarkupManager__AddMarkup 00462AE0
MarkupManager__CreateSAPBox 00461680
MarkupManager__FindMarkUp 00C634DC
MarkupManager__GetMarkUpBoxById 00C6329D
MovieSubtitles__Load 004024A0
MovieSubtitles__Process 004026D0
MultibodySystemImpl__RelocateImpl 0051BE30
MultiplexStreamImpl__AdvanceToNextFrame 0041A2B0
MultiplexStreamImpl__PollStream 0041A0F0
MyWinMain 00401E60
OBJ_PlayAnimLoop 005349F0
OBJ_SwitchState 005347B0
OBJ_TriggerHitReactionEffects 005341F0
OBTABLE_GetObjectID 00465DE0
OBTABLE_Init 00465E30
